日期,收盘,开盘,高,低,交易量,涨跌幅
2020/1/2,"4,852.78","4,852.78","4,852.78","4,852.78",,2.92%
2020/1/3,"4,829.97","4,829.97","4,829.97","4,829.97",,-0.47%
2020/1/6,"4,795.97","4,795.97","4,795.97","4,795.97",,-0.70%
2020/1/7,"4,843.87","4,843.87","4,843.87","4,843.87",,1.00%
2020/1/8,"4,810.03","4,810.03","4,810.03","4,810.03",,-0.70%
2020/1/9,"4,948.41","4,948.41","4,948.41","4,948.41",,2.88%
2020/1/10,"5,017.40","5,017.40","5,017.40","5,017.40",,1.39%
2020/1/13,"5,186.18","5,186.18","5,186.18","5,186.18",,3.36%
2020/1/14,"5,107.63","5,107.63","5,107.63","5,107.63",,-1.51%
2020/1/15,"5,182.31","5,182.31","5,182.31","5,182.31",,1.46%
2020/1/16,"5,223.91","5,223.91","5,223.91","5,223.91",,0.80%
2020/1/17,"5,309.10","5,309.10","5,309.10","5,309.10",,1.63%
2020/1/20,"5,301.93","5,301.93","5,301.93","5,301.93",,-0.14%
2020/1/21,"5,136.94","5,136.94","5,136.94","5,136.94",,-3.11%
2020/1/22,"5,345.23","5,345.23","5,345.23","5,345.23",,4.05%
2020/1/23,"5,162.48","5,162.48","5,162.48","5,162.48",,-3.42%
2020/1/24,"5,210.52","5,210.52","5,210.52","5,210.52",,0.93%
2020/1/29,"5,129.14","5,129.14","5,129.14","5,129.14",,-1.56%
2020/1/30,"4,813.63","4,813.63","4,813.63","4,813.63",,-6.15%
2020/1/31,"4,809.12","4,809.12","4,809.12","4,809.12",,-0.09%
2020/2/3,"4,853.47","4,853.47","4,853.47","4,853.47",,0.92%
2020/2/4,"5,035.23","5,035.23","5,035.23","5,035.23",,3.74%
2020/2/5,"5,096.25","5,096.25","5,096.25","5,096.25",,1.21%
2020/2/6,"5,231.07","5,231.07","5,231.07","5,231.07",,2.65%
2020/2/7,"5,280.66","5,280.66","5,280.66","5,280.66",,0.95%
2020/2/10,"5,296.26","5,296.26","5,296.26","5,296.26",,0.30%
2020/2/11,"5,283.82","5,283.82","5,283.82","5,283.82",,-0.23%
2020/2/12,"5,340.99","5,340.99","5,340.99","5,340.99",,1.08%
2020/2/13,"5,418.68","5,418.68","5,418.68","5,418.68",,1.45%
2020/2/14,"5,315.01","5,315.01","5,315.01","5,315.01",,-1.91%
2020/2/17,"5,417.99","5,417.99","5,417.99","5,417.99",,1.94%
2020/2/18,"5,295.17","5,295.17","5,295.17","5,295.17",,-2.27%
2020/2/19,"5,329.39","5,329.39","5,329.39","5,329.39",,0.65%
2020/2/20,"5,412.57","5,412.57","5,412.57","5,412.57",,1.56%
2020/2/21,"5,316.42","5,316.42","5,316.42","5,316.42",,-1.78%
2020/2/24,"5,235.06","5,235.06","5,235.06","5,235.06",,-1.53%
2020/2/25,"5,342.08","5,342.08","5,342.08","5,342.08",,2.04%
2020/2/26,"5,202.44","5,202.44","5,202.44","5,202.44",,-2.61%
2020/2/27,"5,304.63","5,304.63","5,304.63","5,304.63",,1.96%
2020/2/28,"5,071.12","5,071.12","5,071.12","5,071.12",,-4.40%
2020/3/2,"5,149.22","5,149.22","5,149.22","5,149.22",,1.54%
2020/3/3,"5,182.87","5,182.87","5,182.87","5,182.87",,0.65%
2020/3/4,"5,140.43","5,140.43","5,140.43","5,140.43",,-0.82%
2020/3/5,"5,239.70","5,239.70","5,239.70","5,239.70",,1.93%
2020/3/6,"5,187.82","5,187.82","5,187.82","5,187.82",,-0.99%
2020/3/9,"4,859.24","4,859.24","4,859.24","4,859.24",,-6.33%
2020/3/10,"4,948.31","4,948.31","4,948.31","4,948.31",,1.83%
2020/3/11,"4,851.30","4,851.30","4,851.30","4,851.30",,-1.96%
2020/3/12,"4,598.97","4,598.97","4,598.97","4,598.97",,-5.20%
2020/3/13,"4,594.62","4,594.62","4,594.62","4,594.62",,-0.09%
2020/3/16,"4,194.76","4,194.76","4,194.76","4,194.76",,-8.70%
2020/3/17,"4,223.41","4,223.41","4,223.41","4,223.41",,0.68%
2020/3/18,"3,988.87","3,988.87","3,988.87","3,988.87",,-5.55%
2020/3/19,"3,988.02","3,988.02","3,988.02","3,988.02",,-0.02%
2020/3/20,"4,237.52","4,237.52","4,237.52","4,237.52",,6.26%
2020/3/23,"4,016.02","4,016.02","4,016.02","4,016.02",,-5.23%
2020/3/24,"4,210.06","4,210.06","4,210.06","4,210.06",,4.83%
2020/3/25,"4,414.89","4,414.89","4,414.89","4,414.89",,4.87%
2020/3/26,"4,429.89","4,429.89","4,429.89","4,429.89",,0.34%
2020/3/27,"4,415.82","4,415.82","4,415.82","4,415.82",,-0.32%
2020/3/30,"4,306.40","4,306.40","4,306.40","4,306.40",,-2.48%
2020/3/31,"4,441.07","4,441.07","4,441.07","4,441.07",,3.13%
2020/4/1,"4,396.69","4,396.69","4,396.69","4,396.69",,-1.00%
2020/4/2,"4,507.60","4,507.60","4,507.60","4,507.60",,2.52%
2020/4/3,"4,453.37","4,453.37","4,453.37","4,453.37",,-1.20%
2020/4/6,"4,599.88","4,599.88","4,599.88","4,599.88",,3.29%
2020/4/7,"4,711.50","4,711.50","4,711.50","4,711.50",,2.43%
2020/4/8,"4,679.50","4,679.50","4,679.50","4,679.50",,-0.68%
2020/4/9,"4,697.75","4,697.75","4,697.75","4,697.75",,0.39%
2020/4/14,"4,745.56","4,745.56","4,745.56","4,745.56",,1.02%
2020/4/15,"4,788.30","4,788.30","4,788.30","4,788.30",,0.90%
2020/4/16,"4,891.86","4,891.86","4,891.86","4,891.86",,2.16%
2020/4/17,"4,931.36","4,931.36","4,931.36","4,931.36",,0.81%
2020/4/20,"4,992.68","4,992.68","4,992.68","4,992.68",,1.24%
2020/4/21,"4,877.54","4,877.54","4,877.54","4,877.54",,-2.31%
2020/4/22,"4,991.72","4,991.72","4,991.72","4,991.72",,2.34%
